run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260721_142306_bitget_combined46_n6_fanout1_12h,1,2026-07-21 14:35:12.636839437,kBinance,467,1784644512636000000,1784644512636837150,1784644512636837480,1784644512636838405,1784644512636000000,1784644512636837150,11099485270383,838405,1784644512617000000,1784644512617701812,374299562497,19838405,XLM_USDT,467,kLead,kOpenLong,kBuy,false,0,0.19399,432345564227567617,1,1784644512636856223,330,925,17818,19073,1463470646014652417,entry,1,kEntrySubmit,kLong,0.19404,1e-05,4,51,kCancelled,0,0,,23061705,1784644512660188037,
20260721_142306_bitget_combined46_n6_fanout1_12h,2,2026-07-21 14:35:26.101722401,kBinance,135,1784644526101000000,1784644526101719273,1784644526101719645,1784644526101721348,1784644526101000000,1784644526101719273,11099486986237,721348,1784644525994000000,1784644525994955166,429443108261,107721348,DEXE_USDT,135,kLead,kOpenShort,kSell,false,0,9.114,432345564227567618,2,1784644526101734015,372,1703,12667,14742,1463470702419652608,entry,1,kEntrySubmit,kShort,9.107,0.001,7,1,kCancelled,0,0,,5928881,1784644526107962039,
20260721_142306_bitget_combined46_n6_fanout1_12h,3,2026-07-21 14:38:38.927509763,kBinance,411,1784644718926000000,1784644718927507254,1784644718927507675,1784644718927508802,1784644718926000000,1784644718927507254,11099510237303,1508802,1784644716100000000,1784644716101139586,374301294149,2827508802,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.002893,0,,,421,1127,,,,entry,0,,,0.002892,1e-06,1,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,4,2026-07-21 14:38:38.927514853,kBinance,411,1784644718927000000,1784644718927508271,1784644718927514427,1784644718927514787,1784644718927000000,1784644718927508271,11099510237357,514787,1784644716100000000,1784644716101139586,374301294149,2827514787,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.002893,0,,,6156,360,,,,entry,0,,,0.002892,1e-06,1,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,5,2026-07-21 14:38:38.928022713,kBinance,411,1784644718927000000,1784644718928021908,1784644718928022249,1784644718928022658,1784644718927000000,1784644718928021908,11099510237362,1022658,1784644716100000000,1784644716101139586,374301294149,2828022658,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.002893,0,,,341,409,,,,entry,0,,,0.002892,1e-06,1,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,6,2026-07-21 14:38:38.928023716,kBinance,411,1784644718927000000,1784644718928022492,1784644718928023320,1784644718928023661,1784644718927000000,1784644718928022492,11099510237371,1023661,1784644716100000000,1784644716101139586,374301294149,2828023661,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.002893,0,,,828,341,,,,entry,0,,,0.002892,1e-06,1,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,7,2026-07-21 14:39:21.595073914,kBinance,135,1784644761594000000,1784644761595071117,1784644761595071490,1784644761595072803,1784644761594000000,1784644761595071117,11099514668281,1072803,1784644761594000000,1784644761594838074,429451955428,1072803,DEXE_USDT,135,kLead,kOpenShort,kSell,false,0,9.024,432345564227567619,3,1784644761595084759,373,1313,11956,13642,1463471690148884481,entry,2,kEntrySubmit,kShort,9.017,0.001,7,1.1,kCancelled,0,0,,5682564,1784644761601043418,
20260721_142306_bitget_combined46_n6_fanout1_12h,8,2026-07-21 14:40:11.187993424,kBinance,438,1784644811187000000,1784644811187991202,1784644811187991584,1784644811187992515,1784644811187000000,1784644811187991202,11099520564869,992515,1784644810538000000,1784644810538173214,374302170556,649992515,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.1052,0,,,382,931,,,,entry,0,,,0.10518,1e-05,2,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,9,2026-07-21 14:40:11.187998162,kBinance,438,1784644811187000000,1784644811187993020,1784644811187997751,1784644811187998106,1784644811187000000,1784644811187993020,11099520564931,998106,1784644810538000000,1784644810538173214,374302170556,649998106,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.1052,0,,,4731,355,,,,entry,0,,,0.10518,1e-05,2,0,kRejected,,,,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,10,2026-07-21 14:40:12.959211103,kBinance,438,1784644812958000000,1784644812959209605,1784644812959210022,1784644812959210375,1784644812958000000,1784644812959209605,11099520734640,1210375,1784644812958000000,1784644812958525822,374302194861,1210375,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.10488,432345564227567620,4,1784644812959222067,417,353,11692,12462,1463471905585115139,entry,1,kEntrySubmit,kShort,0.10486,1e-05,2,95,kCancelled,0,0,,5866591,1784644812965358222,
